variable_name,question_text,section,question_type,answer_options,visualization_type,notes
ID,ID,,numeric,,histogram,
開始時刻,開始時刻,,numeric,,histogram,
完了時刻,完了時刻,,numeric,,histogram,
メール,メール,,numeric,,histogram,
名前,名前,,numeric,,histogram,
あなたの現在通っている学校名を教えてください_例_〇〇小学校_中学校,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),,numeric,,histogram,
あなたの学年を教えてください,あなたの学年を教えてください,,numeric,,histogram,
あなたの学校種を教えてください,あなたの学校種を教えてください,,numeric,,histogram,
LEAFシステム_BookRoll_分析_ぶんせき_ツール_を授業・授業外_宿題など_で何か月くらい利用していますか_利用期間がX年Yか月だった場合_X_Y_というようにスラッシュで区切って_全て半角で入力してください_例_1年の場合_1_,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください(例:1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0)",,multi,0;1;8;10;7;9;5;6;10ヶ月;4;5ヶ月;一週間に一度ほど;3;半年;11;2;約2年;12;してない;14;10っかげつ;00;0\6;15;わからない;一日;2~3か月;o;一時間のみ;3か月,stacked-100,
LEAFシステム_BookRoll_分析_ぶんせき_ツール_を授業・授業外_宿題など_でどれくらい利用していますか,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)でどれくらい利用していますか",,numeric,,histogram,
LEAFシステム_BookRoll_分析_ぶんせき_ツール_をどの教科で使用しますか_複数選択_せんたく_可,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",,multi,社会;算数・数学;外国語;なし;未使用;国語;理科;美術など;やってません;美術;使用していない;使ったことがない;使ってないです;使ってない;しない;使っていない;あまり使わない;つかってない,stacked-100,
今年度_LEAFシステム_BookRoll_分析_ぶんせき_ツール_をどの程度使いこなすことができましたか,"今年度、 LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの程度使いこなすことができましたか",,numeric,,histogram,
BookRollでよく使う機能を選んでください_複数選択_せんたく_可,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),,multi,手書き;マーカー;ほとんど使ったことがない;クイズ;タイマー;メモ;辞書;URLリコメンド;教科書とか;プリントのかわり;AI先生;しおり,stacked-100,
分析ツール_ログパレ_でよく使う機能を選んでください_複数選択_せんたく_可,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),,multi,AIエージェント(AI先生・Tammy等);マーカー分析(ぶんせき);ほとんど使ったことがない;閲覧(えつらん)時間集計;理解度チェックダッシュボード;AI推薦(すいせん);メモ分析(ぶんせき);クイズ集計;ワードクラウド;テスト結果集計;最近はあまり使わない,stacked-100,
教材や問題を見るため,教材や問題を見るため,,likert_freq,全く使用しない;あまり使用しない;使用することがある,likert,
自分の解答や学び方を振_ふ_り返るため,自分の解答や学び方を振(ふ)り返るため,,likert_freq,全く使用しない;あまり使用しない;使用することがある,likert,
クラスの人の考えを参考にするため,クラスの人の考えを参考にするため,,likert_freq,全く使用しない;あまり使用しない;使用することがある,likert,
クラスの人の学び方を参考にするため,クラスの人の学び方を参考にするため,,likert_freq,全く使用しない;あまり使用しない;使用することがある,likert,
AIによる問題推薦_すいせん_やアドバイスを受けるため,AIによる問題推薦(すいせん)やアドバイスを受けるため,,likert_freq,全く使用しない;あまり使用しない;使用することがある,likert,
理解度が高まったと感じる,理解度が高まったと感じる,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
勉強を効率よく短時間で行えるようになった,勉強を効率よく短時間で行えるようになった,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
根拠_こんきょ_に基づいた勉強計画や復習を行えるようになった,根拠(こんきょ)に基づいた勉強計画や復習を行えるようになった,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
分析_ぶんせき_ツールを使用することで自分の学習方法に変化が生じた,分析(ぶんせき)ツールを使用することで自分の学習方法に変化が生じた,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
自分に合った学びを実現する助けになったと感じる,自分に合った学びを実現する助けになったと感じる,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
他の人と協力しながら学ぶ助けになったと感じる,他の人と協力しながら学ぶ助けになったと感じる,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
自分で課題を設定して追究していく学びの助けになったと感じる,自分で課題を設定して追究していく学びの助けになったと感じる,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
使い方・操作_そうさ_手順がわかりやすい,使い方・操作(そうさ)手順がわかりやすい,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
LEAFシステムに満足している,LEAFシステムに満足している,,likert_agree,あてはまらない;あまりあてはまらない;使っていない;少しあてはまる;あてはまる,likert,
自由記述,自由記述,,multi,"重いです;少し重いと感じることがある。;BookRollのマーカーをもっと引きやすくしてほしいです。;BookRollが重い。とにかく動作が重い。;画面を大きくする時の操作方法をボタンを明日やるんじゃなくて指でアップするやつにしてほしい。ペンで書く時文字がカクカクしたり書いてないところにまで線が伸びたりしていた。指でかけるのもいいけどペンでできるのと指でできるボタンを作ってほしいどっちも線をかけるのはやりにくい。;使っていない;少し重いと感じることがあります。;マーカー機能が使いづらい。;Leafが重くて立ち上がりません。
数学の先生;プリントの答えをLeafのみにあげないでほしいです!;マーカーがたまに引けない時がある;重すぎてマーカーがうまくひけないことが多いです。;focus goldの問題集を使用するとき;問題番号からすぐに該当のページに飛べればいいのにいちいち下のバーで操作しながら解きたい問題を探すのが面倒くさい。;使う必要性を感じない。;教科書を持ち運びしなくていいので楽です。;消しゴムを触れたら消せるようにしたほうがいいと感じた
たまに書いたものが消えたりする事があるので改善した方がいいと感じた;Bookroll によって教材の答えが簡単に見ることができ;復習しやすくなりました。;この回答は教員がアンケートリンク確認のために回答しているものなので;正規回答からは外してください。;どうしようもないことですが;手書きツールの遅延のせいで;非常に使いにくいです。;特にありません;エラーが多いです さっしょんが短すぎます あとズームインすると戻らないのどうにかしてほしい;特になし;もっさり感は否めないので改善してほしい;よくわかんない;ペンツールをもっとスムーズに充実させてほしい
直線を引ける機能なども欲しい。
解いてる最中とかに次のページに行ったり重かったりするので改善してほしい。それだったら神の教材を使ったほうがマシ どうやって他の人と共有するんですか???",stacked-100,
宿題を行う時間_1週間あたり_時間_半角数字で入力してください,宿題を行う時間    1週間あたり【   】時間 (※半角数字で入力してください),,numeric,,histogram,
予習・復習を行う時間_1週間あたり_時間_半角数字で入力してください,予習・復習を行う時間  1週間あたり【   】時間 (※半角数字で入力してください),,numeric,,histogram,
学校の勉強以外を行う時間_1週間あたり_時間_半角数字で入力してください,学校の勉強以外を行う時間  1週間あたり【   】時間 (※半角数字で入力してください),,numeric,,histogram,
自分の勉強の仕方を振_ふ_り返る時間_1週間あたり_時間_半角数字で入力してください,自分の勉強の仕方を振(ふ)り返る時間  1週間あたり【   】時間 (※半角数字で入力してください),,numeric,,histogram,
勉強の計画を立てる時間_1週間あたり_時間_半角数字で入力してください,勉強の計画を立てる時間  1週間あたり【   】時間 (※半角数字で入力してください),,numeric,,histogram,
学校が_タブレットなどを使ってみんなが勉強した記録を調べて_一人一人に合った勉強の仕方を教えることについてどう思いますか,学校が、タブレットなどを使ってみんなが勉強した記録を調べて、一人一人に合った勉強の仕方を教えることについてどう思いますか?,,numeric,,histogram,
学校が_タブレットなどを使ってみんなが勉強した記録を名前は分からない形で集計して_授業をよくすることについてどう思いますか,学校が、タブレットなどを使ってみんなが勉強した記録を名前は分からない形で集計して、授業をよくすることについてどう思いますか?,,numeric,,histogram,
学校が_タブレットなどを使ってみんなの勉強した記録を調べて_一人一人に合った進学や将来_しょうらい_の仕事についてのアドバイスをすることをどう思いますか,"学校が、タブレットなどを使ってみんなの勉強した記録を調べて,一人一人に合った進学や将来(しょうらい)の仕事についてのアドバイスをすることをどう思いますか?",,numeric,,histogram,
アプリの会社が_タブレットなどを使って勉強した記録を調べて_一人一人に合った問題を出題したりアドバイスをすることについてどう思いますか,アプリの会社が、タブレットなどを使って勉強した記録を調べて、一人一人に合った問題を出題したりアドバイスをすることについてどう思いますか?,,numeric,,histogram,
アプリの会社が_タブレットなどを使って勉強した記録を調べて_名前は分からない形で集めて_問題やアドバイスなどを良くすることについてどう思いますか,"アプリの会社が、タブレットなどを使って勉強した記録を調べて,名前は分からない形で集めて、問題やアドバイスなどを良くすることについてどう思いますか?",,numeric,,histogram,
みんなやその家族が_学校でコンピュータを使って勉強した小学校から中学校までを記録したデータを見て_学びの振_ふ_り返りや計画を立てたりすることについてどう思いますか,みんなやその家族が、学校でコンピュータを使って勉強した小学校から中学校までを記録したデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,,numeric,,histogram,
みんなやその家族が_学校でコンピュータを使って勉強した小学校から大人になってからまでの一生の記録のデータを見て_学びの振_ふ_り返りや計画を立てたりすることについてどう思いますか,みんなやその家族が、学校でコンピュータを使って勉強した小学校から大人になってからまでの一生の記録のデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,,numeric,,histogram,
国がコンピュータを使って_みんなの小学校から中学校までの勉強のデータを名前がわからない形で国全体で集めて_勉強の仕方を良くしたり_研究したりすることについてどう思いますか,国がコンピュータを使って、みんなの小学校から中学校までの勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,,numeric,,histogram,
国がコンピュータを使って_みんなの小学校から大人になってからの学びも含_ふく_めた一生の勉強のデータを名前がわからない形で国全体で集めて_勉強の仕方を良くしたり_研究したりすることについてどう思いますか,国がコンピュータを使って、みんなの小学校から大人になってからの学びも含(ふく)めた一生の勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,,numeric,,histogram,
学校が_顔の動画を分析_ぶんせき_できるコンピュータを使って_みんなの眼の動きを調べて_授業に集中できていない子_なやんでいる子を見つけて_相談にのることについてどう思いますか,学校が、顔の動画を分析(ぶんせき)できるコンピュータを使って、みんなの眼の動きを調べて、授業に集中できていない子、なやんでいる子を見つけて、相談にのることについてどう思いますか?,,numeric,,histogram,
