ID,開始時刻,完了時刻,メール,名前,ご所属をご記入ください（例：●●市立〇〇小学校）,年齢,学校種,教職経験年数,役職（主業務に最も近いものを選択してください。）,授業でのICT活用,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください（例：1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0）,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）でどれくらい利用していますか,LEAFシステム（BookRoll，分析ツール）をどの教科で使用しますか（複数選択可）,BookRollでよく使う機能を選んでください（複数選択可）,分析ツール（ログパレ）でよく使う機能を選んでください（複数選択可）,教材を配布するため,児童・生徒に自分の解答を振り返らせるため,児童・生徒にクラスの人の解答を提示・参照させるため,児童・生徒にクラスの人の学び方を提示・参照させるため,児童・生徒にAIによる問題推薦やアドバイスを受けさせるため,データに基づいてグループを編成するため,クラス全体の傾向を見るため,個人の様子を見るため,取り組みのプロセスを見るため,児童生徒の理解度が高まったと感じる,授業準備時間が短縮した,根拠に基づいた授業設計や教材改善を行えるようになった,分析ツールを使用することで子供たちの学習方法に変化が生じた,個別最適な学びを実現する支援になったと感じる,主体的で対話的で深い学びを実現する支援になったと感じる,協働的な学びを実現する支援になったと感じる,探究的な学びを実現する支援になったと感じる,使い方・操作手順がわかりやすい,LEAFシステムに満足している,自由記述,児童生徒の学力を把握する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,授業に関するプリント作成する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,提出物を回収・確認する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,課外に児童生徒を個別指導する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,残業時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,学校が、コンピュータ利用によって記録される学習データを分析して、一人一人に最適な教育を提供することについてどう思いますか？,学校が、コンピュータ利用によって記録される学習データを匿名化して集計して、教育の改善に用いることについてどう思いますか？,学校が、コンピュータ利用によって記録される学習データを分析して、一人一人の進路指導に用いることについてどう思いますか？,IT、教育関連の会社が、コンピュータ利用によって記録される学習データを分析して、一人一人に最適な教育を提供することについてどう思いますか？,IT、教育関連の会社が、コンピュータ利用によって記録される学習データを匿名化して集計して、教育の改善に用いることについてどう思いますか？,児童生徒や家族が、学校でのコンピュータ利用による９年間の学習データを閲覧して、学習履歴の振り返りや学習計画に用いることについてどう思いますか？,児童生徒や家族が、小中高大から卒業後の生涯にわたる学習データを閲覧して、学習履歴の振り返りや学習計画に用いることについてどう思いますか？,国が、コンピュータ利用による９年間の学習データを匿名化して、国全体で集めて、教育の改善や研究に用いることについてどう思いますか？,国が、小中高大から卒業後の生涯にわたる学習データをを匿名化して、国全体で集めて、教育の改善や研究に用いることについてどう思いますか？,学校が、AIの顔認識技術を使って、表情や視線を分析して、授業に集中できない子、悩みを抱えている子を発見して指導することについてどう思いますか？
1,1/5/25 14:16:36,1/5/25 14:21:35,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/25 15:25:04,1/6/25 15:27:47,anonymous,,,30代,高等学校,15年以上20年未満,指導教諭,1ヶ月に数回程度,2年,1週間に数回程度,算数・数学;社会;,,,使用することがある,,,,,,頻繁に使用している,頻繁に使用している,使用することがある,使っていない,,,,,,,,,,fad,2,2,36,2,2,賛成である,どちらかというと賛成である,どちらかというと反対である,強く反対である,強く賛成である,どちらかというと反対である,反対である,強く反対である,強く反対である,強く反対である
3,1/8/25 15:13:12,1/8/25 15:14:46,anonymous,,,50代,小学校,1年以上5年未満,指導教諭,1週間に数回程度,1,ほぼ毎時間,国語;外国語;,クイズ;URLリコメンド;,マーカー分析;メモ分析;,使用することがある,使用することがある,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,頻繁に使用している,あまり使用しない,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,使っていない,あてはまる,あてはまる,あてはまらない,あてはまる,,1,1,1,1,1,賛成である,賛成である,反対である,どちらかというと賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,強く反対である,強く賛成である
4,1/17/25 17:09:25,1/17/25 17:15:20,anonymous,,洗足学園中学高等学校,20代,高等学校,1年以上5年未満,教諭,ほぼ毎時間,0/6,ほとんど使用していない,国語;,マーカー;,閲覧時間集計;マーカー分析;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,あまり使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,,1,3,3,10,20,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
5,1/17/25 18:24:49,1/17/25 18:36:49,anonymous,,私立洗足学園中学高等学校,40代,高等学校,15年以上20年未満,教諭,1週間に数回程度,2,1週間に数回程度,理科;,クイズ;マーカー;,クイズ集計;マーカー分析;閲覧時間集計;,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あまりあてはまらない,記述式クイズに関して、生徒は「正解」「不正解」と出て、問題を進めることができるが、教員側はそれを集計できないし、正答率を見ることもできない。できるようになれば、個々の理解度もわかり、次の問題をどう作るか、教える内容も返られるのに。残念。,1,1,2,2,4,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である
6,1/18/25 7:39:03,1/18/25 7:46:12,anonymous,,私立洗足学園中学高等学校,20代,中学校,1年以上5年未満,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;クイズ;メモ;,マーカー分析;閲覧時間集計;メモ分析;クイズ集計;,使用することがある,使用することがある,あまり使用しない,使用することがある,全く使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,予習者側（生徒側）からは、少し動作が遅くなることがあり、予習の際にストレスを感じてしまう生徒もいるようです。,3,10,3,2,25,強く賛成である,賛成である,賛成である,強く賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,どちらかというと賛成である
7,1/18/25 8:13:31,1/18/25 9:47:25,anonymous,,洗足学園中学高等学校,30代,高等学校,1年以上5年未満,教諭,1ヶ月に数回程度,4,1ヶ月に数回程度,理科;,マーカー;,マーカー分析;,あまり使用しない,あまり使用しない,全く使用しない,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,使用することがある,少しあてはまる,あまりあてはまらない,あてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,"マーカー等の反映に少し時間がかかるのが授業をする上では難点なので、軽くしてほしい。
クイズの設定をもう少し簡単にしてほしい。半角の数字しか認めないなど指定するのが面倒なので。",1,2,2,3,20,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,どちらかというと反対である
8,1/21/25 7:42:19,1/21/25 7:49:13,anonymous,,洗足学園中学校,30代,中学校,5年以上10年未満,教諭,1週間に数回程度,0/5,1週間に数回程度,外国語;,メモ;マーカー;クイズ;URLリコメンド;,閲覧時間集計;マーカー分析;クイズ集計;,頻繁に使用している,あまり使用しない,使用することがある,あまり使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,使用することがある,あまりあてはまらない,あまりあてはまらない,あてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,"英語の音声を添付した際、課題ファイルを開いた瞬間に再生されるのを改善して欲しい。
クイズを設定した時に、英文が単語の途中で改行される（e.g. the が t と he で改行されてしまう）
音声ファイルを複数選択する方法が分からない",2,2,3,2,15,強く賛成である,強く賛成である,強く賛成である,賛成である,強く賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,強く賛成である
9,1/22/25 10:22:55,1/22/25 10:27:57,anonymous,,洗足学園中学高等学校,40代,高等学校,20年以上,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;,マーカー分析;メモ分析;,頻繁に使用している,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あてはまる,あてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,あてはまる,あてはまる,少しあてはまる,PDFで教科書等配布したとき、スクロールして教材を見ることができると勉強しやすいようである。（生徒からの意見です）,1,10,1,2,1,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である
10,1/30/25 10:42:55,1/30/25 10:51:29,anonymous,,私立洗足学園中学校,30代,中学校,10年以上15年未満,教諭,ほぼ毎時間,0/1,ほとんど使用していない,国語;,マーカー;,マーカー分析;閲覧時間集計;,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,"実験的に使用した。
使用した印象は大きく以下のとおり。
①生徒が扱う際の動作が遅すぎる
②改行込みの一文にマーカーを引くと、改行箇所を境に別マークと判断してしまうので、現代文においてマーカーわけが使えない
③すべての機能において、Googleに劣る。例えば、「○○をマークせよ」ではなく「○○を抜き出せ」としてフォームで解答すれば、集計まで済むため分析効率がいい。動作も早く、マークの不都合もない。
LEAFでなくてはいけない優位性がない。",4,8,2,1,5,賛成である,強く賛成である,賛成である,反対である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
11,2/10/25 9:15:10,2/10/25 9:17:12,anonymous,,京都市立西京高等学校附属中学校,40代,中学校,20年以上,管理職（校長、副校長、教頭など）,ほとんど使用していない,ｄｆ,ほぼ毎時間,国語;,メモ;,閲覧時間集計;,頻繁に使用している,当該機能を知らない,頻繁に使用している,頻繁に使用している,当該機能を知らない,全く使用しない,頻繁に使用している,当該機能を知らない,当該機能を知らない,あてはまる,使っていない,使っていない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,あまりあてはまらない,あてはまる,ｄ,2,2,2,2,2,強く賛成である,強く賛成である,強く賛成である,強く賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である
12,2/10/25 9:51:22,2/10/25 10:06:50,anonymous,,京都市立西京高等学校附属中学校,50代,中学校,20年以上,教諭,ほぼ毎時間,０,ほとんど使用していない,使用していない;,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,1,1,2,1,10,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である
13,2/10/25 10:41:43,2/10/25 10:57:06,anonymous,,京都市立西京高等学校附属中学校,30代,中学校,10年以上15年未満,教務主任,ほぼ毎時間,4/10,ほぼ毎時間,算数・数学;,マーカー;クイズ;メモ;手書き;,マーカー分析;メモ分析;ペンストローク分析;理解度チェックダッシュボード;,頻繁に使用している,使用することがある,頻繁に使用している,頻繁に使用している,使用することがある,全く使用しない,使用することがある,あまり使用しない,使用することがある,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,生徒がタブレットに触れる機会が増え、ノートを使わずタブレットに書き込むことへの抵抗がここ数年で一気に無くなっています。その中で、たくさんのアプリに触れる中で、ログを取っている分、書き味が他に比べてラグを感じる生徒が多く、そこに書いた内容が消えてしまうエラー等が重なって生じると、よりBookRoll離れが起きてしまいます。現状では、BookRollにアップした問題をスクリーンショットして、ロイロノートにまとめる生徒が多いような印象です。BookRollはいいシステムなだけに、何とかならないかな…と思いました。（過去に比べると、随分と改善されていることを授業者は感じているのですが）,2,4,2,1,80,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である
14,2/10/25 17:35:55,2/10/25 17:41:26,anonymous,,京都市立西京附属中学校,20代,中学校,1年以上5年未満,教諭,ほぼ毎時間,4/0,1ヶ月に数回程度,外国語;,マーカー;,マーカー分析;,使用することがある,全く使用しない,使用することがある,全く使用しない,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,,1,1,3,2,8,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である
15,2/10/25 19:11:13,2/10/25 19:21:27,anonymous,,京都市立西京高等学校附属中学校,60代以上,中学校,20年以上,教諭,ほぼ毎時間,2/6,1ヶ月に数回程度,理科;,問題集の解説;,ほとんど使ったことがない;,あまり使用しない,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,5,5,7,0.5,0,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である
16,2/10/25 19:41:25,2/10/25 19:45:04,anonymous,,京都市立西京高等学校附属中学校,30代,中学校,5年以上10年未満,教諭,ほぼ毎時間,3/11,1ヶ月に数回程度,国語;,手書き;マーカー;,ほとんど使ったことがない;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,,2,3,2,3,2,賛成である,賛成である,賛成である,賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,賛成である
17,2/11/25 22:52:37,2/11/25 23:00:33,anonymous,,京都市立西京高等学校附属中学校,30代,中学校,10年以上15年未満,教諭,ほぼ毎時間,3/10,ほぼ毎時間,算数・数学;,資料や解答例の提示;,メモ分析;ペンストローク分析;理解度チェックダッシュボード;,頻繁に使用している,あまり使用しない,全く使用しない,当該機能を知らない,使用することがある,当該機能を知らない,あまり使用しない,あまり使用しない,全く使用しない,あてはまらない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,"操作の反応スピードの向上
資料のアップロードのしやすさの改善（アップロードまでに操作が多い）",2,5,1,1,5,強く賛成である,強く賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,賛成である,どちらかというと賛成である,強く賛成である,賛成である,反対である
18,2/12/25 13:51:17,2/12/25 14:04:58,anonymous,,松井ゆかり,50代,中学校,20年以上,教諭,ほぼ毎時間,3/0,ほぼ毎時間,算数・数学;,URLリコメンド;,ペンストローク分析;理解度チェックダッシュボード;,頻繁に使用している,頻繁に使用している,頻繁に使用している,使用することがある,使用することがある,全く使用しない,使用することがある,使用することがある,あまり使用しない,あてはまる,あてはまる,あてはまる,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,あてはまる,あてはまる,あてはまる,"【改善点】最近、BookRollに教材をアップするのにドラッグアンドドロップでしか反応しない。以前は「教材を登録する」をクリックしてファイルから選択していたができなくなった。
【良かった点】教材を時間指定でアップできるようになり、効率的に仕事ができる。",1,3,3,2,3,賛成である,賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,反対である
19,2/17/25 12:40:58,2/17/25 13:08:48,anonymous,,京都市立西京高校附属中学校,50代,中学校,20年以上,教諭,ほぼ毎時間,0/11,1週間に数回程度,理科;,メモ;,ほとんど使ったことがない;,使用することがある,あまり使用しない,全く使用しない,全く使用しない,当該機能を知らない,当該機能を知らない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,あまりあてはまらない,使っていない,あまりあてはまらない,使っていない,あてはまる,あてはまる,あてはまる,少しあてはまる,使っていない,今年度、理科の問題集をPDFにしていただいたので活用しようと思ったのですが、思いの他、生徒たちより使いにくい（問題解くのに書き込みがしにくい）との声があり、活用がすすみませんでした。すみません。分析ツールを活用したいなという思いはあります。,2,6,2,0.5,10,賛成である,賛成である,賛成である,反対である,反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,反対である
20,2/17/25 14:32:08,2/17/25 14:40:05,anonymous,,京都市立西賀茂中学校,50代,中学校,20年以上,管理職（校長、副校長、教頭など）,1週間に数回程度,0/3,1ヶ月に数回程度,算数・数学;理科;,マーカー;クイズ;,マーカー分析;クイズ集計;AI推薦;理解度チェックダッシュボード;,使用することがある,頻繁に使用している,使用することがある,使用することがある,頻繁に使用している,あまり使用しない,使用することがある,使用することがある,あまり使用しない,少しあてはまる,使っていない,使っていない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,BookRollへの教材の載せ方やクイズの活用法、それがログパレにどのように反映されるかを含め、ベストが何かが掴めれば、もっと活用率は上がると思う。生徒も教師も、このやり方がベストという自信がないため、ベスト例を示してもらえると嬉しい。,1,0,0,0,3,強く賛成である,強く賛成である,強く賛成である,賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,強く賛成である
21,2/19/25 9:29:16,2/19/25 9:38:57,anonymous,,岩沼市立岩沼小学校,40代,小学校,15年以上20年未満,主幹教諭,1ヶ月に数回程度,0/6,1ヶ月に数回程度,国語;理科;,マーカー;,マーカー分析;閲覧時間集計;,使用することがある,使用することがある,使用することがある,使用することがある,全く使用しない,全く使用しない,使用することがある,使用することがある,あまり使用しない,あてはまる,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,あてはまる,あてはまる,若干固まりやすいところがあると思います。特にiOSタブレットではピンチイン、ピンチアウトに弱さがあります。生成AIで作成した文章とBookRollの相性は非常によいと思います。,1,2.5,1,0.5,10,強く賛成である,強く賛成である,賛成である,賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,賛成である
22,2/20/25 10:14:24,2/20/25 10:20:19,anonymous,,京都市立西賀茂中学校,30代,中学校,5年以上10年未満,教諭,ほぼ毎時間,0/1,1週間に数回程度,理科;,マーカー;,マーカー分析;理解度チェックダッシュボード;,使用することがある,使用することがある,使用することがある,使用することがある,全く使用しない,全く使用しない,あまり使用しない,使用することがある,使用することがある,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,少しあてはまる,あてはまる,あてはまる,生徒のマーカー部分が反映されなかった時がある。,1,3,1,2,10,強く賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である
23,2/21/25 9:01:09,2/21/25 9:25:44,anonymous,,京都市立西賀茂中学校,40代,中学校,10年以上15年未満,教諭,1週間に数回程度,0/3,1週間に数回程度,算数・数学;,クイズ;,クイズ集計;閲覧時間集計;,使用することがある,使用することがある,当該機能を知らない,当該機能を知らない,使用することがある,当該機能を知らない,頻繁に使用している,頻繁に使用している,使用することがある,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,"AI推薦問題への誘導の仕方が難しい。子どもの思考から判断すると、1回解けた問題は、再度、解く意欲がわかないかもしれない。解けない問題がある場合、この内容が理解できていないから、
できないという根拠が示せるようになると、変わってくるかもしれません。
ただし、丁寧な説明文を書いたところで、文章を読んで取り組む、子どもは非常に少ないと考えられます。LEAFシステムを使いこなすという目的とは異なりますので、ここでは控えます。
ステップ１～5ぐらいに分割して、箇条書きで書いておく方が、使いやすいですし、ここまで、できるようになったよ みたいな、細かい達成感を感じられるようにすれば、少なからず AI 推薦問題に取り組めるのでは？と個人的に考えています。",2,12,1,0,30,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,反対である
24,2/25/25 16:54:23,2/25/25 17:09:32,anonymous,,京都市立明徳小学校,20代,小学校,1年以上5年未満,教諭,ほぼ毎時間,０/1,1週間に数回程度,国語;,マーカー;,マーカー分析;閲覧時間集計;,使用することがある,あまり使用しない,使用することがある,あまり使用しない,全く使用しない,全く使用しない,使用することがある,全く使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,文字の大きさが小さく、児童は見づらそうにしています。拡大すると動作が固まってしまうため、不便さを感じている児童がいました。文字の書き込みを全体で共有したり、マーカー分析も児童同士でできると自主的に意見を交流できるのではないかと思いました。,5,1,5,4,10,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である